VFID,RAgas,DECgas,COreference,alphaCO,Mmol,Mmol_err_up,Mmol_err_down,r21,err_r21,tdep,tdep_err_up,tdep_err_down,HIreference,MHI,MHI_err_up,MHI_err_down,MH2_to_MHI,MH2_to_MHI_err_up,MH2_to_MHI_err_down,H2def,errH2def,HIdef,errHIdef,Separation,MH2,MH2_err_up,MH2_err_down,Mgas
VFID0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0002,145.9446417,74.8595806,AMIGA,,2137962089.5022328,267245261.18777907,267245261.18777907,,,977237220.9558108,466318233.2383137,466318233.2383137,AMIGA,9.251732640566562,8.754510248451973,8.634510248451974,1.1974774929553316,-1.0,-1.0,-0.1671978403536123,0.0542868102379064,0.4044138839760478,0.1382171453835724,0.0,9.33,0.9826016309019009,0.9823470351298339,9.593657076196166
VFID0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0005,173.1341542,74.6275556,AMIGA,,194984459.97580415,62898212.89542069,62898212.89542069,,,691830970.9189352,388987583.2481682,388987583.2481682,AMIGA,8.881732640566561,8.384510248451972,8.264510248451973,0.2560161482970676,-1.0,-1.0,0.3949021596463904,0.1400949941623392,0.2057603070172859,0.1382171453835725,0.0,8.29,0.9533668718537007,0.9533434196877564,8.980727863623173
VFID0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
