VFID,GALAXY,RA_MOMENT,DEC_MOMENT,FLUX_AP06_G,FLUX_UNCERT_AP06_G,FLUX_AP06_R,FLUX_UNCERT_AP06_R,FLUX_AP06_Z,FLUX_UNCERT_AP06_Z,FLUX_AP06_FUV,FLUX_UNCERT_AP06_FUV,FLUX_AP06_NUV,FLUX_UNCERT_AP06_NUV,FLUX_AP06_W1,FLUX_UNCERT_AP06_W1,FLUX_AP06_W2,FLUX_UNCERT_AP06_W2,FLUX_AP06_W3,FLUX_UNCERT_AP06_W3,FLUX_AP06_W4,FLUX_UNCERT_AP06_W4,70Flux_SMA_AP06,100Flux_SMA_AP06,160Flux_SMA_AP06,70Flux_AP06_err,100Flux_AP06_err,160Flux_AP06_err
VFID0018,NGC4589,189.3546174,74.19191318,121.405,6.07,279.038,13.952,284.65,14.232,0.159,0.009,1.525,0.076,284.755,14.238,148.895,7.445,46.983,2.349,28.822,4.624,0.295,290.862,-2406.733,14.769,14.543,-120.337
VFID0087,UGC03701,107.9268995,72.16994622,8.715,0.436,13.858,0.693,8.0,0.4,0.237,0.029,0.847,0.042,8.66,0.433,4.613,0.231,9.881,0.558,19.252,2.77,0.114,215.814,303.755,5.704,10.791,15.188
VFID0132,UGC05423,151.3778879,70.36515727,6.104,0.305,9.422,0.471,5.436,0.272,0.796,0.04,1.099,0.055,6.025,0.301,3.755,0.188,6.634,0.552,17.095,2.762,0.124,162.06,151.042,6.19,8.103,7.552
VFID0187,NGC3622,170.0508841,67.24168682,17.89,0.895,27.5,1.375,27.454,1.373,2.122,0.106,3.247,0.162,22.816,1.141,13.419,0.671,40.762,2.038,74.744,3.737,1.231,2067.34,2001.314,61.563,103.367,100.066
VFID0240,NGC4125,182.0226079,65.17440964,258.723,12.936,532.824,26.641,618.7,30.935,0.495,0.074,2.5,0.125,675.069,33.753,352.882,17.644,90.979,4.549,98.147,6.95,1.071,1903.44,6364.721,53.564,95.172,318.236
VFID0488,NGC3945,178.3066381,60.67597168,131.944,6.597,273.662,13.683,317.183,15.859,0.375,0.079,1.25,0.062,337.699,16.885,175.335,8.767,62.809,3.14,64.599,7.925,,765.357,1213.539,,38.268,60.677
VFID0692,NGC2685,133.8938898,58.734365,93.026,4.651,168.976,8.449,202.192,10.11,1.628,0.081,3.042,0.152,159.044,7.952,86.07,4.304,117.248,5.862,106.886,5.344,,702.583,1031.853,,35.129,51.593
VFID0696,NGC5372,208.691563,58.66663369,14.234,0.712,22.779,1.139,29.109,1.455,1.517,0.076,2.417,0.121,20.633,1.032,13.727,0.686,110.177,5.509,207.24,10.362,,2834.638,1896.632,,141.732,94.832
VFID0711,NGC3690,172.1373855,58.56505908,63.911,3.196,-21.446,0.022,75.524,3.776,6.382,0.319,9.518,0.476,43.5,2.175,-606.68,0.076,3525.601,176.28,20473.094,1023.655,121.484,109251.532,60009.435,6074.198,5462.577,3000.472
VFID0712,IC0694,172.1272512,58.56178848,64.313,3.216,-21.199,0.022,75.196,3.76,7.649,0.382,11.353,0.568,44.097,2.205,-606.296,0.076,3527.271,176.364,20488.189,1024.409,109.449,91759.521,48921.901,5472.428,4587.976,2446.095
VFID0757,UGC06575,174.1100557,58.19173399,10.278,0.514,50.611,2.531,15.204,0.76,1.761,0.088,2.506,0.125,11.119,0.556,6.543,0.327,13.255,0.663,22.428,2.561,,496.656,560.892,,24.833,28.045
VFID0948,NGC3794,175.2257007,56.2021314,19.9,0.995,29.565,1.478,26.642,1.332,3.777,0.189,4.641,0.232,20.954,1.048,11.704,0.585,26.669,1.333,56.138,4.233,,843.003,806.452,,42.15,40.323
VFID0956,NGC3898,177.3129891,56.08436524,140.145,7.007,261.794,13.09,320.801,16.04,0.976,0.049,4.61,0.23,310.539,15.527,165.359,8.268,91.723,4.586,81.055,8.267,,1974.971,2803.379,,98.749,140.169
VFID0960,NGC3353,161.3423074,55.96000814,25.24,1.262,35.736,1.787,36.852,1.843,4.754,0.238,6.024,0.301,26.959,1.348,18.375,0.919,170.345,8.517,897.717,44.886,4.457,4922.961,2448.286,222.829,246.148,122.414
VFID0976,NGC5866,226.6227838,55.76344678,246.85,12.342,492.156,24.608,677.344,33.867,0.211,0.017,3.541,0.177,628.312,31.416,353.717,17.686,214.424,10.721,219.81,10.99,8.308,16692.821,16628.858,415.407,834.641,831.443
