Galaxy,Dist,log(D25),e_log(D25),CO_trans,fap,log(LCO),E_log(LCO),e_log(LCO),log(MH2),(E_log(MH2),e_log(MH2)
PGC022100,30.27,0.92,0.05,1-->0,0.66,7.07,,,7.71,,
NGC2577,35.62,1.19,0.04,1-->0,0.52,7.42,,,7.93,,
NGC2577,35.62,1.19,0.04,2-->1,0.28,7.2,,,,,
NGC2592,32.57,1.17,0.04,1-->0,0.43,7.44,,,7.97,,
NGC2592,32.57,1.17,0.04,2-->1,0.2,7.24,,,,,
NGC2594,34.13,0.96,0.21,1-->0,0.67,7.28,,,7.56,,
NGC2594,34.13,0.96,0.21,2-->1,0.4,6.83,,,,,
UGC04551,27.29,1.23,0.07,1-->0,0.52,7.19,,,7.78,,
UGC04551,27.29,1.23,0.07,2-->1,0.31,7.05,,,,,
NGC2679,28.83,1.27,0.07,1-->0,0.27,7.62,,,8.14,,
NGC2679,28.83,1.27,0.07,2-->1,0.1,7.41,,,,,
UGC04722,23.86,1.16,0.03,1-->0,0.79,7.62,0.08,0.1,8.25,0.08,0.1
NGC2852,29.63,0.97,0.09,1-->0,0.54,7.28,,,7.76,,
NGC2852,29.63,0.97,0.09,2-->1,0.27,7.03,,,,,
NGC2859,24.45,1.5,0.04,1-->0,0.14,7.67,,,8.31,,
NGC2859,24.45,1.5,0.04,2-->1,0.05,7.62,,,,,
PGC027311,25.65,0.87,0.06,1-->0,0.74,6.81,,,7.44,,
NGC2964,20.45,1.47,0.03,1-->0,0.44,8.54,0.07,0.08,9.17,0.07,0.08
NGC2964,20.45,1.47,0.03,2-->1,0.72,7.63,0.02,0.02,,,
NGC3032,21.76,1.15,0.04,1-->0,0.38,8.15,0.01,0.01,8.78,0.01,0.01
NGC3032,21.76,1.15,0.04,2-->1,0.16,7.85,0.01,0.01,,,
NGC3098,22.68,1.37,0.06,1-->0,0.42,7.14,,,7.56,,
NGC3098,22.68,1.37,0.06,2-->1,0.24,6.83,,,,,
IC0598,34.35,1.22,0.06,1-->0,0.53,7.57,,,7.98,,
IC0598,34.35,1.22,0.06,2-->1,0.32,7.25,,,,,
NGC3193,28.82,1.37,0.03,1-->0,0.22,7.75,,,8.21,,
NGC3193,28.82,1.37,0.03,2-->1,0.08,7.48,,,,,
NGC3245,21.39,1.56,0.03,1-->0,0.17,7.38,0.12,0.16,8.01,0.12,0.16
NGC3245,21.39,1.56,0.03,2-->1,0.06,7.25,,,0.74,,
NGC3248,23.87,1.23,0.04,1-->0,0.46,7.17,,,7.78,,
NGC3248,23.87,1.23,0.04,2-->1,0.22,7.05,,,,,
NGC3265,21.88,0.98,0.09,3-->2,,7.42,,,8.36,,
NGC3277,25.33,1.32,0.03,1-->0,0.22,8.37,0.12,0.18,9.01,0.12,0.18
NGC3294,28.46,1.49,0.04,1-->0,0.11,8.78,0.12,0.18,9.42,0.12,0.18
NGC3424,28.04,1.4,0.06,1-->0,0.21,7.68,,,8.32,,
NGC3424,28.04,1.4,0.06,2-->1,0.17,7.8,,,,,
NGC3430,28.88,1.6,0.04,1-->0,0.08,8.51,,,9.14,,
NGC3430,28.88,1.6,0.04,2-->1,0.05,8.79,,,,,
NGC3504,19.85,1.39,0.03,1-->0,,8.79,0.05,0.06,9.42,0.05,0.06
NGC3595,33.83,1.18,0.08,1-->0,0.56,7.37,,,7.59,,
NGC3595,33.83,1.18,0.08,2-->1,0.34,6.86,,,,,
NGC3648,31.09,1.08,0.04,1-->0,0.57,7.3,,,7.77,,
NGC3648,31.09,1.08,0.04,2-->1,0.3,7.04,,,,,
NGC3658,31.93,1.24,0.07,1-->0,0.31,7.61,,,8.17,,
NGC3658,31.93,1.24,0.07,2-->1,0.12,7.44,,,,,
NGC3665,23.03,1.61,0.04,1-->0,,8.09,0.01,0.01,8.72,0.01,0.01
NGC3694,35.95,1,0.1,1-->0,0.59,7.46,,,7.95,,
NGC3694,35.95,1,0.1,2-->1,0.31,7.22,,,,,
NGC3796,22.07,1.16,0.08,1-->0,0.52,7.07,,,7.38,,
NGC3796,22.07,1.16,0.08,2-->1,0.27,6.65,,,,,
NGC3838,22.86,1.15,0.08,1-->0,0.56,7.06,,,7.33,,
NGC3838,22.86,1.15,0.08,2-->1,0.32,6.6,,,,,
NGC3898,22.27,1.54,0.02,1-->0,0.11,7.74,,,8.37,,
NGC3953,17.77,1.79,0.02,1-->0,,9.14,0.1,0.13,9.77,0.1,0.13
NGC3982,20.59,1.27,0.04,1-->0,0.34,8.63,0.12,0.18,9.26,0.12,0.18
NGC3992,19.99,1.85,0.03,1-->0,0.21,8.35,0.04,0.04,8.99,0.04,0.04
NGC3998,21.1,1.44,0.03,1-->0,0.19,7.45,,,7.94,,
NGC3998,21.1,1.44,0.03,2-->1,0.07,7.21,,,,,
NGC4026,15.79,1.64,0.03,1-->0,0.25,7.06,,,7.29,,
NGC4026,15.79,1.64,0.03,2-->1,0.13,6.56,,,,,
NGC4051,13.95,1.77,0.02,1-->0,,8.55,0.08,0.09,9.18,0.08,0.09
NGC4088,14.51,1.74,0.02,1-->0,,8.76,0.07,0.08,9.4,0.07,0.08
NGC4096,12.24,1.75,0.02,1-->0,,8.22,0.08,0.1,8.85,0.08,0.1
NGC4100,20.31,1.66,0.02,1-->0,0.14,8.99,0.12,0.18,9.62,0.12,0.18
NGC4111,13.75,1.25,0.03,1-->0,0.5,6.77,0.09,0.11,7.41,0.09,0.11
NGC4111,13.75,1.25,0.03,2-->1,0.3,6.87,0.04,0.04,,,
NGC4138,16.37,1.46,0.03,1-->0,0.51,7.82,0.11,0.15,8.45,0.11,0.15
NGC4143,17.57,1.42,0.03,1-->0,0.29,7.15,,,7.79,,
NGC4143,17.57,1.42,0.03,2-->1,0.12,7.35,,,,,
NGC4144,6.85,1.72,0.03,1-->0,,6.81,0.09,0.12,7.44,0.09,0.12
NGC4151,11.27,1.46,0.04,1-->0,,8.08,0.09,0.11,8.72,0.09,0.11
NGC4151,11.27,1.46,0.04,2-->1,0.56,6.27,,,,,
