Galaxy,Dist,n_Dist,log(D25),e_log(D25),COtrans,l_SCOD,SCOD,e_SCOD,fap,FWHM,e_FWHM,l_log(L'CO),log(L'CO),E_log(L'CO),e_log(L'CO),n_log(L'CO),l_r21,r21,e_r21,l_log(MH2),log(MH2),E_log(MH2),e_log(MH2)
IC2256,35.33,a,0.90,0.06,1-->0,<,10.02,0.00,0.71,0,0,<,7.63,0.00,0.00,,,0.00,0.00,<,7.86,0.00,0.00
IC2256,35.33,a,0.90,0.06,2-->1,<,7.80,0.00,0.44,0,0,<,7.13,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
UGC04375,40.34,a,1.23,0.04,1-->0,,14.79,1.86,0.38,0,0,,8.19,0.05,0.06,,,0.00,0.07,,8.83,0.05,0.06
UGC04375,40.34,a,1.23,0.04,2-->1,,7.49,1.64,0.16,0,0,,7.67,0.09,0.11,,,0.00,0.00,,0.00,0.00,0.00
IC2361,30.33,,1.19,0.04,1-->0,,11.51,1.92,0.53,0,0,,7.69,0.07,0.08,,,0.00,0.13,,8.32,0.07,0.08
IC2361,30.33,,1.19,0.04,2-->1,,17.65,1.79,0.30,0,0,,7.51,0.04,0.05,,,0.00,0.00,,0.00,0.00,0.00
UGC04395,38.17,a,1.00,0.05,1-->0,<,4.30,0.00,0.69,0,0,<,7.35,0.00,0.00,,,0.00,0.00,<,7.78,0.00,0.00
UGC04395,38.17,a,1.00,0.05,2-->1,<,5.56,0.00,0.44,0,0,<,7.05,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
PGC023706,32.60,,0.69,0.13,1-->0,<,2.86,0.00,0.83,0,0,<,6.95,0.00,0.00,,,0.00,0.00,<,7.03,0.00,0.00
PGC023706,32.60,,0.69,0.13,2-->1,<,1.85,0.00,0.60,0,0,<,6.30,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC2604,30.69,,1.17,0.05,1-->0,,5.73,0.90,0.36,0,0,,7.56,0.06,0.07,,,0.00,0.17,,8.20,0.06,0.07
NGC2604,30.69,,1.17,0.05,2-->1,,7.72,1.13,0.15,0,0,,7.47,0.06,0.07,,,0.00,0.00,,0.00,0.00,0.00
PGC024012,32.82,,0.93,0.06,1-->0,<,7.16,0.00,0.68,0,0,<,7.45,0.00,0.00,,,0.00,0.00,<,7.82,0.00,0.00
PGC024012,32.82,,0.93,0.06,2-->1,<,7.41,0.00,0.40,0,0,<,7.09,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
