VFID,objname,ra,dec,cutout_size,E_B_V_SandF,mean_E_B_V_SandF,stdev_E_B_V_SandF,max_E_B_V_SandF,min_E_B_V_SandF,AV_SandF,E_B_V_SFD,mean_E_B_V_SFD,stdev_E_B_V_SFD,max_E_B_V_SFD,min_E_B_V_SFD,AV_SFD,errmsg,A(FUV)_SandF,A(NUV)_SandF,A(G)_SandF,A(R)_SandF,A(Z)_SandF,A(W1)_SandF,A(W2)_SandF,A(W3)_SandF,A(W4)_SandF,A(FUV)_SFD,A(NUV)_SFD,A(G)_SFD,A(R)_SFD,A(Z)_SFD,A(W1)_SFD,A(W2)_SFD,A(W3)_SFD,A(W4)_SFD,A(FUV)_S16,A(NUV)_S16,A(G)_S16,A(R)_S16,A(Z)_S16,A(W1)_S16,A(W2)_S16,A(W3)_S16,A(W4)_S16
VFID0018,,189.35429,74.19186,2.0,0.0243,0.024,0.0005,0.0252,0.0228,0.0753,0.0282,0.028,0.0006,0.0293,0.0265,0.0875,,0.200232,0.1992599999999999,0.0781002,0.0526095,0.0294273,0.0044712,0.0027459,0.00058563,0.00022113,0.232368,0.2312399999999999,0.0906348,0.061053,0.0341502,0.0051887999999999,0.0031866,0.00067962,0.00025662,0.2,0.2,0.0906348,0.061053,0.0341502,0.0051887999999999,0.0031866,0.00067962,0.00025662
VFID0087,,107.92788,72.16919,2.0,0.0515,0.0512,0.0033,0.0563,0.0442,0.1597,0.0599,0.0596,0.0039,0.0655,0.0514,0.1857,,0.42436,0.4222999999999999,0.165521,0.1114975,0.0623665,0.009476,0.0058195,0.00124115,0.00046865,0.493576,0.4911799999999999,0.1925186,0.1296835,0.0725389,0.0110216,0.0067687,0.00144359,0.00054509,0.2,0.2,0.1925186,0.1296835,0.0725389,0.0110216,0.0067687,0.00144359,0.00054509
VFID0132,,151.37847,70.36444,2.0,0.0684,0.0698,0.0043,0.0768,0.0615,0.212,0.0795,0.0812,0.005,0.0893,0.0715,0.2466,,0.563616,0.5608799999999999,0.2198376,0.148086,0.0828324,0.0125856,0.0077292,0.00164844,0.00062244,0.65508,0.6518999999999999,0.255513,0.1721175,0.0962745,0.014628,0.0089835,0.00191595,0.00072345,0.2,0.2,0.255513,0.1721175,0.0962745,0.014628,0.0089835,0.00191595,0.00072345
VFID0187,,170.05157,67.24163,2.0,0.0125,0.0123,0.0004,0.0128,0.0115,0.0389,0.0146,0.0144,0.0004,0.0149,0.0134,0.0452,,0.103,0.1025,0.040175,0.0270625,0.0151375,0.0023,0.0014125,0.00030125,0.00011375,0.120304,0.11972,0.0469244,0.031609,0.0176806,0.0026864,0.0016498,0.00035186,0.00013286,0.2,0.2,0.0469244,0.031609,0.0176806,0.0026864,0.0016498,0.00035186,0.00013286
VFID0240,,182.02487,65.17418,2.0,0.0163,0.0163,0.0006,0.0174,0.0151,0.0504,0.0189,0.0189,0.0007,0.0202,0.0175,0.0586,,0.134312,0.1336599999999999,0.0523881999999999,0.0352894999999999,0.0197392999999999,0.0029991999999999,0.0018418999999999,0.0003928299999999,0.0001483299999999,0.155736,0.1549799999999999,0.0607446,0.0409185,0.0228879,0.0034776,0.0021357,0.00045549,0.00017199,0.2,0.2,0.0607446,0.0409185,0.0228879,0.0034776,0.0021357,0.00045549,0.00017199
VFID0488,,178.30694,60.67559,2.0,0.0235,0.0227,0.0019,0.0249,0.0181,0.073,0.0274,0.0264,0.0022,0.029,0.0211,0.0848,,0.19364,0.1926999999999999,0.075529,0.0508775,0.0284585,0.004324,0.0026555,0.00056635,0.00021385,0.225776,0.22468,0.0880636,0.059321,0.0331814,0.0050416,0.0030962,0.00066034,0.00024934,0.2,0.2,0.0880636,0.059321,0.0331814,0.0050416,0.0030962,0.00066034,0.00024934
VFID0692,,133.8946,58.73439,2.0,0.0537,0.0506,0.0024,0.0539,0.0457,0.1666,0.0625,0.0588,0.0028,0.0627,0.0532,0.1937,,0.442488,0.4403399999999999,0.1725918,0.1162605,0.0650307,0.0098807999999999,0.0060681,0.0012941699999999,0.00048867,0.515,0.5125,0.200875,0.1353125,0.0756875,0.0115,0.0070625,0.00150625,0.00056875,0.2,0.2,0.200875,0.1353125,0.0756875,0.0115,0.0070625,0.00150625,0.00056875
VFID0696,,208.69164,58.66662,2.0,0.0084,0.0083,0.0003,0.0088,0.0073,0.026,0.0098,0.0096,0.0004,0.0102,0.0085,0.0302,,0.069216,0.0688799999999999,0.0269975999999999,0.018186,0.0101724,0.0015455999999999,0.0009492,0.00020244,7.643999999999999e-05,0.080752,0.0803599999999999,0.0314971999999999,0.021217,0.0118678,0.0018031999999999,0.0011074,0.0002361799999999,8.918e-05,0.2,0.2,0.0314971999999999,0.021217,0.0118678,0.0018031999999999,0.0011074,0.0002361799999999,8.918e-05
VFID0711,,172.13989,58.56291,2.0,0.0143,0.0144,0.0002,0.0149,0.0142,0.0444,0.0167,0.0168,0.0002,0.0174,0.0166,0.0517,,0.117832,0.1172599999999999,0.0459602,0.0309595,0.0173173,0.0026312,0.0016159,0.00034463,0.00013013,0.137608,0.1369399999999999,0.0536738,0.0361555,0.0202237,0.0030727999999999,0.0018871,0.00040247,0.00015197,0.2,0.2,0.0536738,0.0361555,0.0202237,0.0030727999999999,0.0018871,0.00040247,0.00015197
VFID0712,,172.12826,58.56184,2.0,0.0143,0.0144,0.0002,0.0149,0.0142,0.0444,0.0167,0.0168,0.0002,0.0174,0.0166,0.0517,,0.117832,0.1172599999999999,0.0459602,0.0309595,0.0173173,0.0026312,0.0016159,0.00034463,0.00013013,0.137608,0.1369399999999999,0.0536738,0.0361555,0.0202237,0.0030727999999999,0.0018871,0.00040247,0.00015197,0.2,0.2,0.0536738,0.0361555,0.0202237,0.0030727999999999,0.0018871,0.00040247,0.00015197
