VFID,RAdeg,DEdeg,HV,Vcosmic,Vmodel,HyperLeda,NED,PGC,NSAV0,NSAV1,AGC,CO,A100,redshift
0,185.868772,74.95225,1419,1810,1810,NGC4363,NGC 4363,40233.0,,,,False,False,0.006
1,182.208,74.90428,1332,1082,1723,NGC4133,NGC 4133,38578.0,,,,False,False,0.0036
2,145.944663,74.85958,3049,3069,3381,NGC2977,NGC 2977,27845.0,,,,False,False,0.0102
3,185.573083,74.83839,1833,2212,2212,PGC040048,CGCG 352-030,40048.0,,,,False,False,0.0074
4,182.82775,74.80822,1683,2066,2066,UGC07189,UGC 07189,38805.0,,,,False,False,0.0069
5,173.134184,74.62754,1920,2203,2291,NGC3752,NGC 3752,35608.0,,,,False,False,0.0073
6,121.912404,74.58463,2333,2786,2669,UGC04202,UGC 04202,22815.0,,,,False,False,0.0093
7,118.2363,74.57653,2346,2680,2680,PGC022064,KUG 0746+747,22064.0,,,,False,False,0.0089
8,274.943166,74.56839,1484,1517,1875,NGC6643,NGC 6643,61742.0,,,,False,False,0.0051
9,183.47745,74.5014,1702,2075,2084,UGC07238,UGC 07238,39036.0,,,,False,False,0.0069
10,190.435041,74.42086,1453,2800,1845,NGC4648,NGC 4648,42595.0,,,,False,False,0.0093
11,154.41619,74.34739,2944,3672,3280,NGC3155,NGC 3155,30064.0,,,,False,False,0.0122
12,110.33325,74.3238,966,1325,1325,PGC2761545,WISEA J072119.85+741922.5,2761545.0,,,,False,False,0.0044
13,139.634051,74.3192,2966,3295,3295,UGC04883,UGC 04883,26284.0,,,,False,False,0.011
14,262.266917,74.25783,1928,2618,2311,UGC10892,UGC 10892,60369.0,,,,False,False,0.0087
15,188.939359,74.24259,2188,2558,2558,NGC4572,NGC 4572,41991.0,,,,False,False,0.0085
16,138.699625,74.23247,1127,1962,1498,UGC04841,Holmberg III,26071.0,,,,False,False,0.0065
17,157.678335,74.22752,2806,3147,3147,UGC05686,UGC 05686,30998.0,,,,False,False,0.0105
18,189.354291,74.19186,2002,2084,2377,NGC4589,NGC 4589,42139.0,,,,False,False,0.007
19,155.454019,74.17699,3092,2673,3426,NGC3183,NGC 3183,30323.0,,,,False,False,0.0089
20,132.019333,74.09878,2168,1990,2511,NGC2633,NGC 2633,24723.0,,,,False,False,0.0066
21,278.702208,74.06181,1679,2064,2064,PGC062075,CGCG 340-051,62075.0,,,,False,False,0.0069
22,132.099209,74.03822,2160,2504,2504,PGC213530,WISEA J084823.84+740217.5,213530.0,,,,False,False,0.0084
